trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
129,False,"{'a': 0.5, 'e': 0.27803730045319414}",20,0,-50.2182451686922,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
130,False,"{'a': 0.5, 'e': 0.27527078308975234}",25,0,-57.87896795192492,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
131,False,"{'a': 0.5, 'e': 0.2725317930340126}",25,8,20.93297988833485,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.2698200563846868}",30,3,-5.761950338760315,"{0: 25, 1: 1, 2: 0, 3: 0, 4: 1}",1
133,False,"{'a': 0.5, 'e': 0.26713530196585034}",20,0,-90.68628002222951,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
134,False,"{'a': 0.5, 'e': 0.26447726129982396}",20,14,10.717187567287205,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.261845668580326}",25,0,17.009463748267812,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
136,False,"{'a': 0.5, 'e': 0.2592402606458915}",30,20,-6.283794498716375,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.2566607769535559}",25,0,-45.94051998233588,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
138,False,"{'a': 0.5, 'e': 0.25410695955280027}",20,0,-7.77485615981455,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
139,False,"{'a': 0.5, 'e': 0.25157855305975646}",20,6,-70.35511367814215,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 2}",1
140,False,"{'a': 0.5, 'e': 0.24907530463166816}",25,13,-3.289036924668407,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.24659696394160643}",20,13,-0.5599827284827135,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.2441432831534371}",25,6,6.1753638956256385,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.24171401689703645}",30,3,27.559487924417883,"{0: 25, 1: 1, 2: 1, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.23930892224375455}",25,12,-22.437885451896427,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.23692775868212176}",25,4,-19.920176704986357,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 1}",1
146,False,"{'a': 0.5, 'e': 0.23457028809379765}",30,13,16.245100700716208,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.23223627472975883}",25,19,11.922687821103835,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.22992548518672384}",20,0,-32.917088114568074,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
149,False,"{'a': 0.5, 'e': 0.22763768838381274}",20,9,-1.5698978775206436,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.22537265553943872}",25,9,-33.870042809073894,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 1}",1
151,False,"{'a': 0.5, 'e': 0.22313016014842982}",30,20,14.989696040090895,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.2209099779593782}",25,0,-33.23269173860473,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
153,False,"{'a': 0.5, 'e': 0.21871188695221475}",25,12,-3.445693567269862,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.21653566731600707}",20,0,0.46836680720447466,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
155,False,"{'a': 0.5, 'e': 0.21438110142697794}",35,14,-17.481010783921334,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 1}",1
156,False,"{'a': 0.5, 'e': 0.21224797382674304}",25,13,-15.728294815823054,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
157,False,"{'a': 0.5, 'e': 0.21013607120076472}",30,12,19.69360119633588,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
