trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
64,False,"{'a': 0.5, 'e': 0.5325918010068972}",35,0,-89.9140247993515,"{0: 26, 1: 5, 2: 2, 3: 0, 4: 2}",0
65,False,"{'a': 0.5, 'e': 0.5272924240430485}",25,0,-113.44149423411844,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
66,False,"{'a': 0.5, 'e': 0.522045776761016}",20,0,-24.777655767887307,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.5168513344916992}",20,13,-15.512859147805544,"{0: 4, 1: 1, 2: 2, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.5117085777865424}",20,11,-42.606146973916836,"{0: 5, 1: 0, 2: 3, 3: 1, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.5066169923655895}",20,4,3.2667563074420025,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.5015760690660555}",20,10,-8.27916236786127,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.49658530379140947}",20,3,-114.84057611048384,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 3}",1
72,False,"{'a': 0.5, 'e': 0.4916441974609651}",25,2,-72.20865476541643,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 2}",1
73,False,"{'a': 0.5, 'e': 0.4867522559599717}",25,5,-67.02980647099464,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 1}",1
74,False,"{'a': 0.5, 'e': 0.48190899009020244}",20,16,7.6374493686941,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.4771139155210344}",25,8,18.39957678514456,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.4723665527410147}",25,3,-76.14361085238126,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 2}",1
77,False,"{'a': 0.5, 'e': 0.46766642700990924}",20,11,0.2277388038810959,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.46301306831122807}",20,9,-57.782142995174276,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 1}",1
79,False,"{'a': 0.5, 'e': 0.4584060113052235}",25,20,11.658463773064176,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
